"Number","Name","Canton","Published latitude","Published longitude","Coordinate type","Exact start","Parking","Nearest public transport","Primary official source","Last checked","Publication status","Uncertainties / next action"
"12","Lake Lucerne","Lucerne / Uri / Schwyz / Nidwalden","47.0194","8.4011","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Lake+Lucerne&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"13","Chapel Bridge","Lucerne","47.05156707763672","8.307458877563477","attraction","Lucerne railway station, 47.050755, 8.310246","No dedicated attraction parking verified; use an official city car park","Luzern, Bahnhof, 47.050755, 8.310246","https://www.luzern.com/en/poi/chapel-bridge","2026-08-09","published_source_checked","Temporary city maintenance or event controls remain possible"
"14","Château de Chillon","Vaud","46.41454315185547","6.9274444580078125","attraction","Château de Chillon entrance, 46.414543, 6.927444","Limited free roadside parking up to three hours; permit required","Veytaux-Chillon station, 46.417622, 6.927858; Veytaux, château de Chillon bus stop","https://www.chillon.ch/en/visit/","2026-08-09","published_source_checked","Admission hours and last entry vary by month"
"15","Lavaux Vineyard Terraces","Vaud","46.4919","6.7461","heritage_area_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Lavaux+Vineyard+Terraces&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"16","Aletsch Glacier","Valais","46.4422","8.0778","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Aletsch+Glacier&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"17","Gornergrat","Valais","45.9833","7.7847","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Gornergrat&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"18","Riffelsee","Valais","45.9847","7.7626","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Riffelsee&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"19","Schilthorn","Bern","46.5575","7.8353","summit","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Schilthorn&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"20","Grindelwald First","Bern","46.66","8.0547","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Grindelwald+First&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"21","Bachalpsee","Bern","46.669","8.0236","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Bachalpsee&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"22","Schynige Platte","Bern","46.6513","7.9079","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Schynige+Platte&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"23","Blausee","Bern","46.5327","7.6643","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Blausee&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"24","Aare Gorge","Bern","46.7194","8.2145","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Aare+Gorge&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"25","Rhine Gorge (Ruinaulta)","Graubünden","46.8056","9.3195","valley_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Rhine+Gorge+%28Ruinaulta%29&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"26","Caumasee","Graubünden","46.8198","9.2956","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Caumasee&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"27","Landwasser Viaduct","Graubünden","46.680946350097656","9.67599868774414","attraction","Schmitten (Albula) Landwasserviadukt stop, 46.680286, 9.672232","Landwasser Viaduct car park; approximately 25 minutes to Hennings platform","Seasonal viaduct shuttle to Schmitten (Albula) Landwasserviadukt","https://www.rhb.ch/en/excursions/viaduct-shuttle/","2026-08-09","published_source_checked","Shuttle runs only on published operating days"
"28","Bernina Pass and Lago Bianco","Graubünden","46.399","10.0236","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Bernina+Pass+and+Lago+Bianco&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"29","Swiss National Park","Graubünden","46.6667","10.1667","heritage_area_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Swiss+National+Park&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"30","Verzasca Valley","Ticino","46.2585","8.8371","valley_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Verzasca+Valley&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"31","Ponte dei Salti","Ticino","46.2589","8.8375","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Ponte+dei+Salti&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"32","Three Castles of Bellinzona","Ticino","46.19284439086914","9.02198314666748","heritage_area_reference","Castelgrande, 46.192844, 9.021983","Signed central Bellinzona parking; Piazza del Sole is the closest central reference","Bellinzona, Stazione, 46.194824, 9.028221","https://booking.bellinzonaevalli.ch/en/products/bellinzona-pass","2026-08-09","published_source_checked","One point cannot represent all three castles; mapped point is explicitly Castelgrande"
"33","Old City of Bern","Bern","46.94916534423828","7.4490461349487305","heritage_area_reference","Bern railway station, 46.948833, 7.439132","No dedicated heritage-site parking; use official city car parks","Bern railway station, 46.948833, 7.439132","https://bern.com/en/inform/barrier-free-bern/accessible-city-tour-bern","2026-08-09","published_source_checked","Temporary works and events can alter the public route"
"34","Abbey District of St. Gallen","St. Gallen","47.423","9.3775","heritage_area_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Abbey+District+of+St.+Gallen&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"35","Gruyères","Fribourg","46.584","7.0825","village","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Gruy%C3%A8res&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"36","Trümmelbach Falls","Bern","46.571","7.9147","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Tr%C3%BCmmelbach+Falls&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"37","Rosenlaui Glacier Gorge","Bern","46.7131","8.1623","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Rosenlaui+Glacier+Gorge&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"38","Gelmersee","Bern","46.6144","8.3033","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Gelmersee&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"39","Giessbach Falls","Bern","46.7354","8.0223","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Giessbach+Falls&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"40","Engstligen Falls","Bern","46.4503","7.57","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Engstligen+Falls&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"41","Lauenensee","Bern","46.4072","7.3189","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Lauenensee&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"42","Gantrischseeli","Bern","46.7129","7.44","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Gantrischseeli&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"43","Gorges de l’Areuse","Neuchâtel","46.958","6.79","valley_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Gorges+de+l%E2%80%99Areuse&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"44","Saut du Doubs","Neuchâtel","47.0995","6.701","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Saut+du+Doubs&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"45","Étang de la Gruère","Jura","47.2381","7.048","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=%C3%89tang+de+la+Gru%C3%A8re&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"46","St-Ursanne","Jura","47.3647","7.154","village","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=St-Ursanne&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"47","Chasseral","Bern","47.1325","7.0592","summit","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Chasseral&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"48","Lac de Joux","Vaud","46.625","6.2867","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Lac+de+Joux&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"49","Dent de Vaulion","Vaud","46.6811","6.3503","summit","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Dent+de+Vaulion&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"50","Vallon de Nant","Vaud","46.2528","7.101","valley_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Vallon+de+Nant&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"51","Lac des Chavonnes","Vaud","46.342","7.137","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Lac+des+Chavonnes&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"52","Rochers-de-Naye","Vaud","46.4314","6.9764","summit","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Rochers-de-Naye&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"53","Grande Cariçaie","Vaud / Fribourg","46.815","6.768","heritage_area_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Grande+Cari%C3%A7aie&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"54","Mont Vully","Fribourg","46.9617","7.0742","summit","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Mont+Vully&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"55","Ogoz Island","Fribourg","46.6983","7.1","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Ogoz+Island&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"56","Schwarzsee","Fribourg","46.6678","7.29","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Schwarzsee&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"57","Gastlosen","Fribourg","46.577","7.275","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Gastlosen&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"58","Gorges de la Jogne","Fribourg","46.6059","7.1188","valley_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Gorges+de+la+Jogne&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"59","Lac de Taney","Valais","46.3467","6.8422","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Lac+de+Taney&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"60","Derborence","Valais","46.2817","7.215","valley_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Derborence&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"61","Earth Pyramids of Euseigne","Valais","46.1735","7.4206","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Earth+Pyramids+of+Euseigne&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"62","Lac de Moiry","Valais","46.1367","7.5739","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Lac+de+Moiry&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"63","Grande Dixence Dam","Valais","46.0803","7.4031","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Grande+Dixence+Dam&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"64","Lac Bleu d’Arolla","Valais","46.0506","7.48","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Lac+Bleu+d%E2%80%99Arolla&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"65","Champex-Lac","Valais","46.0322","7.1177","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Champex-Lac&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"66","Bisse du Torrent-Neuf","Valais","46.2725","7.3285","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Bisse+du+Torrent-Neuf&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"67","Gorges du Durnand","Valais","46.0617","7.064","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Gorges+du+Durnand&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"68","Val Ferret","Valais","45.9328","7.0989","valley_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Val+Ferret&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"69","Foroglio Waterfall","Ticino","46.3744","8.5489","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Foroglio+Waterfall&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"70","Val Calnègia","Ticino","46.362","8.522","valley_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Val+Caln%C3%A8gia&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"71","Piora Valley and Lago Ritom","Ticino","46.5393","8.6911","valley_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Piora+Valley+and+Lago+Ritom&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"72","Lago di Tomè","Ticino","46.3632","8.6899","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Lago+di+Tom%C3%A8&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
